run,removed_count,retained_count,fit_max,fit_mean,heldout_max,heldout_mean,heldout_converged
random_42,12,285,0.04848768546573558,0.03587660580146781,0.047811512628966275,0.03030848145548493,True
random_42,13,284,0.04848768546573558,0.03587660580146781,0.047811512628966275,0.03030848145548493,True
random_42,14,283,0.04848768546573558,0.03587660580146781,0.047811512628966275,0.03030848145548493,True
random_42,15,282,0.04848768546573558,0.03587660580146781,0.047811512628966275,0.03030848145548493,True
random_42,16,281,0.04756582483322955,0.03648783545153158,0.04569187556533018,0.030636068206497263,True
random_42,17,280,0.04928285294517245,0.03713530668946199,0.04700840785998019,0.031188339991456676,True
random_42,18,279,0.04928285294517245,0.03713530668946199,0.04700840785998019,0.031188339991456676,True
random_42,19,278,0.049583358044643505,0.03739883800751306,0.04737450722823638,0.03142271456384852,True
random_42,20,277,0.049583358044643505,0.03739883800751306,0.04737450722823638,0.03142271456384852,True
random_42,21,276,0.04980831119290897,0.038763331188756224,0.048023575092340204,0.03376408717527066,True
random_42,22,275,0.04980831119290897,0.038763331188756224,0.048023575092340204,0.03376408717527066,True
random_42,23,274,0.04980831119290897,0.038763331188756224,0.048023575092340204,0.03376408717527066,True
random_42,24,273,0.04980831119290897,0.038763331188756224,0.048023575092340204,0.03376408717527066,True
random_42,25,272,0.04980831119290897,0.038763331188756224,0.048023575092340204,0.03376408717527066,True
random_42,26,271,0.04980831119290897,0.038763331188756224,0.048023575092340204,0.03376408717527066,True
random_42,27,270,0.04980831119290897,0.038763331188756224,0.048023575092340204,0.03376408717527066,True
random_42,28,269,0.04980831119290897,0.038763331188756224,0.048023575092340204,0.03376408717527066,True
random_42,29,268,0.04980831119290897,0.038763331188756224,0.048023575092340204,0.03376408717527066,True
random_43,0,297,0.0,0.0,0.0,0.0,True
random_43,1,296,0.0,0.0,0.0,0.0,True
random_43,2,295,0.020634245163269224,0.004005207610832457,0.011561201219316402,0.0047352354832854585,True
random_43,3,294,0.028202755927227628,0.012564607508241404,0.018831205751840944,0.011628242544280146,True
random_43,4,293,0.03553582168204774,0.02230225984148224,0.025869466174692213,0.019644647296339912,True
random_43,5,292,0.04033052585082241,0.028050940803719695,0.030340266059039507,0.024149155245754724,True
random_43,6,291,0.041784181637653905,0.029803339742619877,0.03196595328000668,0.025605431869297705,True
random_43,7,290,0.04879133500369812,0.037699603942512684,0.04311611238150506,0.03192833317684988,True
random_43,8,289,0.04685637818107366,0.022128543295010947,0.02096507224488494,0.01432026160919705,True
random_43,9,288,0.02869864451298013,0.020649372920948202,0.02584637840503876,0.016664735019364833,True
random_43,10,287,0.046413491783695075,0.03218630129406719,0.04471873711150944,0.02691953799929799,True
random_43,11,286,0.04850558561592154,0.03662408398842113,0.05001794256418702,0.03129876296592098,True
random_43,12,285,0.04850558561592154,0.03662408398842113,0.05001794256418702,0.03129876296592098,True
random_43,13,284,0.04850558561592154,0.03662408398842113,0.05001794256418702,0.03129876296592098,True
random_43,14,283,0.04878601820267818,0.03695007598591648,0.05030205646732111,0.03161707409553043,True
random_43,15,282,0.04970780826730011,0.038369553117392895,0.049686552243109076,0.034087682826786314,True
random_43,16,281,0.04970780826730011,0.038369553117392895,0.049686552243109076,0.034087682826786314,True
random_43,17,280,0.04970780826730011,0.038369553117392895,0.049686552243109076,0.034087682826786314,True
random_43,18,279,0.04970780826730011,0.038369553117392895,0.049686552243109076,0.034087682826786314,True
random_43,19,278,0.04970780826730011,0.038369553117392895,0.049686552243109076,0.034087682826786314,True
random_43,20,277,0.04933882831526793,0.038730004022740266,0.04914656502505622,0.03464702692470978,True
random_43,21,276,0.04933882831526793,0.038730004022740266,0.04914656502505622,0.03464702692470978,True
random_43,22,275,0.04933882831526793,0.038730004022740266,0.04914656502505622,0.03464702692470978,True
random_43,23,274,0.04933882831526793,0.038730004022740266,0.04914656502505622,0.03464702692470978,True
random_43,24,273,0.049951532176633374,0.03935660178225759,0.04952039431387869,0.03529490068925544,True
random_43,25,272,0.049951532176633374,0.03935660178225759,0.04952039431387869,0.03529490068925544,True
random_43,26,271,0.049951532176633374,0.03935660178225759,0.04952039431387869,0.03529490068925544,True
random_43,27,270,0.0494111395248428,0.04243099233479553,0.04789349991444417,0.03712245145096624,True
